Weight,FM 1,ZC 1,FM 2,ZC 2,FM 3,ZC 3,Diff 21,Diff 32,Diff 31
0,18112,0,18124,0,18088,0,0,0,0
2,18152,40,18164,40,18124,36,0,-4,-4
5,18212,100,18224,100,18190,102,0,2,2
7,18248,136,18260,136,18230,142,0,6,6
10,18302,190,18320,196,18286,198,6,2,8
20,18496,384,18512,388,18478,390,4,2,6
30,18682,570,18700,576,18666,578,6,2,8
50,19072,960,19088,964,19072,984,4,20,24
60,19272,1160,19286,1162,19264,1176,2,14,16
70,19464,1352,19482,1358,19446,1358,6,0,6
80,19656,1544,19670,1546,19640,1552,2,6,8
100,20044,1932,20050,1926,20032,1944,-6,18,12
110,20242,2130,20252,2128,20224,2136,-2,8,6
120,20444,2332,20458,2334,20420,2332,2,-2,0
130,20632,2520,20644,2520,20608,2520,0,0,0
150,21020,2908,21044,2920,21014,2926,12,6,18
160,21212,3100,21238,3114,21206,3118,14,4,18
170,21418,3306,21422,3298,21378,3290,-8,-8,-16
180,21604,3492,21614,3490,21578,3490,-2,0,-2
200,22012,3900,22000,3876,21968,3880,-24,4,-20
300,23976,5864,23972,5848,23976,5888,-16,40,24
500,27716,9604,27730,9606,27718,9630,2,24,26
